Compound_name	Group
ABT-737	Effective
acetylcysteine	Ineffective
afatinib	Effective
AGK-2	Effective
alisertib	Effective
amonafide	Effective
amperozide	Ineffective
amsacrine	Effective
antimycin-a	Ineffective
apigenin	Ineffective
artesunate	Ineffective
asiatic-acid	Ineffective
AT-7519	Effective
auranofin	Effective
axitinib	Effective
azacitidine	Effective
AZD-5438	Effective
AZD-6482	Effective
AZD-7762	Effective
AZD-8055	Effective
azithromycin	Ineffective
belinostat	Effective
benzylpenicillin	Ineffective
betulinic-acid	Ineffective
BI-2536	Effective
BIBR-1532	Ineffective
bicalutamide	Ineffective
BMS-345541	Effective
BMS-754807	Effective
bortezomib	Effective
bosutinib	Effective
brazilin	Ineffective
brefeldin-a	Effective
bufalin	Effective
buparlisib	Effective
BX-795	Effective
BX-912	Ineffective
calcitriol	Ineffective
camptothecin	Effective
carbamazepine	Ineffective
carprofen	Ineffective
carvedilol	Ineffective
cediranib	Effective
celastrol	Effective
celecoxib	Effective
CHIR-99021	Ineffective
chlorambucil	Ineffective
chloroquine	Ineffective
cinobufagin	Effective
cladribine	Effective
clozapine	Ineffective
CP-466722	Effective
crizotinib	Effective
cucurbitacin-i	Ineffective
cycloheximide	Ineffective
cyclophosphamide	Ineffective
cytarabine	Effective
dabrafenib	Effective
dacarbazine	Ineffective
dactinomycin	Effective
dasatinib	Effective
daunorubicin	Effective
decitabine	Ineffective
deoxycholic-acid	Ineffective
docetaxel	Effective
doramapimod	Effective
dovitinib	Effective
doxorubicin	Effective
elesclomol	Effective
entinostat	Ineffective
enzastaurin	Ineffective
epirubicin	Effective
ERK-inhibitor-11E	Effective
erlotinib	Effective
everolimus	Effective
FK-866	Effective
floxuridine	Effective
fluconazole	Ineffective
fludarabine	Effective
fluorouracil	Ineffective
fluphenazine	Effective
fluvastatin	Effective
foretinib	Effective
GDC-0941	Effective
gedunin	Ineffective
gefitinib	Effective
geldanamycin	Effective
gemcitabine	Effective
genistein	Ineffective
GSK-1904529A	Effective
GW-441756	Effective
imatinib	Ineffective
irinotecan	Effective
ispinesib	Effective
IWP-2	Effective
KU-55933	Effective
lamivudine	Ineffective
lapatinib	Effective
leflunomide	Ineffective
lenalidomide	Ineffective
lestaurtinib	Effective
linezolid	Ineffective
linsitinib	Effective
lovastatin	Effective
methotrexate	Effective
methysergide	Ineffective
MG-132	Effective
mitoxantrone	Ineffective
MK-1775	Effective
mocetinostat	Effective
motesanib	Effective
MST-312	Effective
mycophenolic-acid	Ineffective
navitoclax	Effective
nilotinib	Effective
nimesulide	Ineffective
nocodazole	Effective
nonoxynol-9	Ineffective
noscapine	Effective
NU-7441	Effective
NVP-AUY922	Effective
NVP-BEZ235	Effective
NVP-TAE684	Effective
obatoclax	Effective
olaparib	Ineffective
omeprazole	Ineffective
paclitaxel	Effective
palbociclib	Effective
parachlorophenol	Ineffective
pazopanib	Effective
PCI-34051	Effective
PD-0325901	Effective
PD-173074	Effective
pentamidine	Effective
perphenazine	Ineffective
pevonedistat	Effective
PF-562271	Effective
phenoxazine	Ineffective
PI-103	Effective
piperlongumine	Effective
pirarubicin	Effective
PLX-4720	Effective
pravastatin	Effective
primaquine	Ineffective
puromycin	Ineffective
pyrimethamine	Ineffective
quercetin	Ineffective
raltitrexed	Effective
resveratrol	Ineffective
roscovitine	Effective
rottlerin	Ineffective
ruxolitinib	Ineffective
SB-216763	Effective
SB-590885	Effective
selumetinib	Effective
simvastatin	Effective
sorafenib	Effective
staurosporine	Effective
sulforaphane	Ineffective
tacrolimus	Ineffective
tamoxifen	Ineffective
tanespimycin	Effective
telmisartan	Ineffective
temozolomide	Ineffective
temsirolimus	Effective
tipifarnib	Effective
topotecan	Effective
tozasertib	Ineffective
trametinib	Effective
tretinoin	Ineffective
TW-37	Effective
ubenimex	Ineffective
veliparib	Ineffective
vemurafenib	Effective
vinblastine	Effective
vincristine	Effective
vinorelbine	Ineffective
vorinostat	Effective
xanthohumol	Ineffective
XAV-939	Effective
YK-4279	Effective
YM-155	Effective
zaprinast	Ineffective
ZM-447439	Effective
zolantidine	Ineffective
