Gene	log2FC
TERT	9.56554525
HOXA10	5.75630603
EGF	5.26724058
MYBL2	4.86176018
BIRC5	4.81762984
CDC20	4.56265618
KIF2C	4.5151713
UBE2C	4.2994272
SPP1	4.29497637
MELK	4.29482439
CDKN2A	4.23131947
KIF20A	4.2120432
TOP2A	4.17736921
CCNB2	4.15295136
SFN	4.03616525
BUB1B	3.95520139
AURKB	3.90690212
PLK1	3.87337222
CDC45	3.68913137
CDK1	3.68215096
CCNA2	3.63053094
CENPE	3.60185735
CCNB1	3.40003993
KIF14	3.33619699
ORC1L	3.32377352
E2F2	3.04613171
AURKA	2.79854928
NT5DC2	2.78878685
EPHB2	2.68339229
EZH2	2.67071553
PYCR1	2.65159787
CCNE2	2.52831985
LAMA3	2.48515104
IGF2BP2	2.43397235
CCNF	2.36767618
NUSAP1	2.34468085
CDC25A	2.32443336
GMNN	2.15854101
POLE2	2.14107491
CBR3	2.13886545
STMN1	2.12946037
PDGFA	1.99453885
PAFAH1B3	1.98762612
MAPK13	1.8608442
RPL39L	1.83836193
TARBP1	1.81169348
COL4A1	1.81114708
HSPB1	1.70959449
PSRC1	1.64427773
WDR67	1.63829925
CHEK1	1.56199232
SPAG4	1.55532852
PLP2	1.54995207
MCM3	1.52536125
PHGDH	-1.5150924
ACAA1	-1.5161616
AGL	-1.5320967
JUN	-1.5609454
CXCL2	-1.6337268
DUSP6	-1.7784947
TBXA2R	-1.8271698
IL1B	-1.8558778
GADD45B	-1.9719625
IGFBP3	-1.9848885
GSTZ1	-2.0065697
TRIB1	-2.0125086
ZFP36	-2.1752494
SOCS2	-2.2009832
SERPINE1	-2.208145
GHR	-2.4817481
PTGS2	-2.4921759
EGR1	-2.6073821
FOS	-3.1264896
