Gene	log2FC
16	0.657
10058	1.1533
10057	1.2544
23	0.8426
63874	1.2506
25	0.7924
30	-0.9821
64746	0.7071
65057	0.9681
47	1.1655
23597	0.6192
102	0.7349
178	-0.6288
26993	0.5356
226	1.3751
51005	1.1661
55608	0.536
55129	1.35
23647	0.6174
392	0.63
9181	1.0966
51742	0.6568
10776	0.7582
10973	0.6903
22809	-0.7528
22926	0.6445
64422	0.5433
481	1.2479
27032	0.8243
533	0.7912
51382	0.656
6790	2.847
9212	2.7081
8312	0.7247
572	0.6517
25805	1.0368
581	0.9428
9275	0.576
8678	0.7588
8553	-0.5248
637	0.7526
332	3.1451
642	0.5976
644	1.2446
652	2.3108
28969	1.0664
808	0.8167
813	0.9745
124583	1.2843
823	0.9383
22794	0.8908
8573	1.1781
835	0.9302
836	0.563
847	-0.8562
873	0.6619
79080	0.9617
6347	-0.8467
890	1.8282
891	2.9753
9133	2.9504
51293	0.9852
965	0.9546
991	3.295
994	1.133
998	0.5331
983	2.9567
1017	0.6368
1019	1.2453
1021	0.931
1022	0.9815
1029	2.7491
1050	0.7981
64781	0.6841
1070	0.7104
10668	0.583
11200	1.3179
10523	0.6078
79643	0.7043
57019	0.7179
55847	0.507
22883	1.0745
1212	0.8084
1213	0.8161
4850	0.6014
80347	0.6926
22796	1.2041
25839	0.7827
91949	0.6955
1277	1.9445
1282	1.527
9276	0.5303
50813	0.6529
8895	0.8999
10898	1.3093
79174	0.9365
1399	0.7373
10491	1.0412
1454	0.799
1509	0.8334
2017	0.9917
2920	-1.5714
1534	1.0482
54205	0.6146
9267	0.6412
1605	0.7619
1616	1.0317
1633	1.0243
54541	1.1024
780	1.4506
1662	0.7601
11325	0.6479
1676	0.7289
79947	0.6431
51635	0.6663
54505	0.6691
9988	0.5913
3300	0.8026
10049	0.617
10059	0.7641
1786	0.9519
1788	1.253
1802	1.0524
10589	0.8618
56940	0.7168
1845	0.7356
1848	-0.8326
11319	0.5803
8726	0.816
1958	-1.0376
1978	0.8889
1994	0.7317
58478	0.8191
2058	1.267
2065	0.9646
