Compound_name	Group
afatinib	Effective
amonafide	Effective
amperozide	Ineffective
amsacrine	Effective
antimycin-a	Ineffective
apigenin	Ineffective
artesunate	Ineffective
asiatic-acid	Ineffective
AT-7519	Effective
auranofin	Effective
axitinib	Ineffective
AZD-7762	Effective
azithromycin	Ineffective
belinostat	Effective
benzylpenicillin	Ineffective
betulinic-acid	Ineffective
BI-2536	Effective
bosutinib	Effective
brazilin	Ineffective
brefeldin-a	Effective
bufalin	Effective
BX-912	Ineffective
calcitriol	Ineffective
camptothecin	Effective
carbamazepine	Ineffective
carprofen	Ineffective
carvedilol	Ineffective
celastrol	Effective
celecoxib	Ineffective
chlorambucil	Ineffective
chloroquine	Ineffective
cinobufagin	Effective
cladribine	Effective
clozapine	Ineffective
CP-466722	Effective
cucurbitacin-i	Ineffective
cycloheximide	Ineffective
dactinomycin	Effective
dasatinib	Effective
daunorubicin	Effective
decitabine	Ineffective
deoxycholic-acid	Ineffective
docetaxel	Effective
dovitinib	Effective
doxorubicin	Effective
entinostat	Ineffective
enzastaurin	Ineffective
epirubicin	Effective
erlotinib	Effective
everolimus	Ineffective
floxuridine	Effective
fluconazole	Ineffective
fluphenazine	Effective
fluvastatin	Effective
gedunin	Ineffective
gefitinib	Ineffective
geldanamycin	Effective
genistein	Ineffective
imatinib	Ineffective
irinotecan	Effective
ispinesib	Effective
lamivudine	Ineffective
lapatinib	Effective
linezolid	Ineffective
lovastatin	Effective
methysergide	Ineffective
mitoxantrone	Ineffective
mocetinostat	Effective
mycophenolic-acid	Ineffective
nimesulide	Ineffective
nocodazole	Effective
nonoxynol-9	Ineffective
noscapine	Effective
NVP-TAE684	Effective
omeprazole	Ineffective
paclitaxel	Effective
palbociclib	Effective
parachlorophenol	Ineffective
pazopanib	Ineffective
PD-173074	Effective
pentamidine	Ineffective
perphenazine	Ineffective
PF-562271	Effective
phenoxazine	Ineffective
PI-103	Effective
piperlongumine	Effective
pirarubicin	Effective
pravastatin	Effective
primaquine	Ineffective
puromycin	Ineffective
pyrimethamine	Ineffective
quercetin	Ineffective
raltitrexed	Effective
resveratrol	Ineffective
roscovitine	Effective
rottlerin	Ineffective
ruxolitinib	Ineffective
simvastatin	Effective
sorafenib	Effective
staurosporine	Effective
sulforaphane	Ineffective
tacrolimus	Ineffective
tamoxifen	Ineffective
telmisartan	Ineffective
temsirolimus	Effective
tipifarnib	Effective
tozasertib	Ineffective
ubenimex	Ineffective
vemurafenib	Effective
vinblastine	Effective
vincristine	Effective
vinorelbine	Ineffective
vorinostat	Effective
xanthohumol	Ineffective
YM-155	Effective
zaprinast	Ineffective
zolantidine	Ineffective
