Gene	log2FC
AARS	0.657
ABCB6	1.1533
ABCC5	1.2544
ABCF1	0.8426
ABHD4	1.2506
ABL1	0.7924
ACAA1	-0.9821
ACBD3	0.7071
ACD	0.9681
ACLY	1.1655
ACOT9	0.6192
ADAM10	0.7349
ADCK3	0.7243
AGL	-0.6288
AKAP8L	0.5356
ALDOA	1.3751
AMDHD2	1.1661
ANKRD10	0.536
ANO10	1.35
ARFIP2	0.6174
ARHGAP1	0.63
ARHGEF2	1.0966
ARID4B	0.6568
ARPP19	0.7582
ASCC3	0.6903
ATF5	-0.7528
ATF6	0.6445
ATG3	0.5433
ATP1B1	1.2479
ATP2C1	0.8243
ATP6V0B	0.7912
ATP6V1D	0.656
AURKA	2.847
AURKB	2.7081
AXIN1	0.7247
BAD	0.6517
BAMBI	1.0368
BAX	0.9428
BCL7B	0.576
BECN1	0.7588
BHLHE40	-0.5248
BID	0.7526
BIRC5	3.1451
BLMH	0.5976
BLVRA	1.2446
BMP4	2.3108
BZW2	1.0664
CALM3	0.8167
CALU	0.9745
CANT1	1.2843
CAPN1	0.9383
CASC3	0.8908
CASK	1.1781
CASP2	0.9302
CASP3	0.563
CAT	-0.8562
CBR1	0.6619
CCDC86	0.9617
CCL2	-0.8467
CCNA2	1.8282
CCNB1	2.9753
CCNB2	2.9504
CD320	0.9852
CD58	0.9546
CDC20	3.295
CDC25B	1.133
CDC42	0.5331
CDK1	2.9567
CDK2	0.6368
CDK4	1.2453
CDK6	0.931
CDK7	0.9815
CDKN2A	2.7491
CEBPA	0.7981
CERK	0.6841
CETN3	0.7104
CGRRF1	0.583
CHEK2	1.3179
CHERP	0.6078
CHMP6	0.7043
CIAPIN1	0.7179
CISD1	0.507
CLSTN1	1.0745
CLTB	0.8084
CLTC	0.8161
CNOT4	0.6014
COASY	0.6926
COG2	1.2041
COG4	0.7827
COG7	0.6955
COL1A1	1.9445
COL4A1	1.527
COPB2	0.5303
COPS7A	0.6529
CPNE3	0.8999
CPSF4	1.3093
CRELD2	0.9365
CRKL	0.7373
CRTAP	1.0412
CSNK1E	0.799
CTSD	0.8334
CTTN	0.9917
CXCL2	-1.5714
CYB561	1.0482
CYCS	0.6146
CYTH1	0.6412
DAG1	0.7619
DAXX	1.0317
DCK	1.0243
DDIT4	1.1024
DDR1	1.4506
DDX10	0.7601
DDX42	0.6479
DFFA	0.7289
DHDDS	0.6431
DHRS7	0.6663
DHX29	0.6691
DMTF1	0.5913
DNAJB2	0.8026
DNAJB6	0.617
DNM1L	0.7641
DNMT1	0.9519
DNMT3A	1.253
DPH2	1.0524
DRAP1	0.8618
DUSP22	0.7168
DUSP3	0.7356
DUSP6	-0.8326
ECD	0.5803
EED	0.816
EGR1	-1.0376
EIF4EBP1	0.8889
ELAVL1	0.7317
ENOPH1	0.8191
EPRS	1.267
ERBB3	0.9646
EXOSC4	1.2425
EZH2	1.7464
FAIM	1.0543
FAM20B	1.0649
FAM63A	1.1436
FASTKD5	0.5206
FAT1	1.2769
FDFT1	0.5454
FGFR4	1.209
FIS1	0.6331
FOS	-1.205
FOXO4	0.7782
G3BP1	0.5668
GAA	0.679
GABPB1	0.5328
GADD45A	-0.6617
GADD45B	-1.1964
GALE	0.5337
GAPDH	0.9034
GFPT1	0.6577
GHR	-1.6735
GMNN	1.9285
GNA11	0.5559
GNAI1	1.0967
GNB5	1.1006
GNPDA1	1.1393
GOLT1B	0.9435
GPATCH8	0.5757
GRB10	0.6432
GRB7	0.759
GRN	1.1165
GRWD1	0.6723
GSTM2	-0.5316
GSTZ1	-1.2325
GTF2A2	0.5646
H2AFV	1.0629
HAT1	0.7443
HDAC2	0.732
HEATR1	0.8376
HIST1H2BK	1.4482
HIST2H2BE	1.7528
HLA-DMA	0.6406
HMG20B	0.6359
HN1L	0.9472
HS2ST1	0.6973
HSPA4	0.8982
HSPB1	1.3362
HTATSF1	0.8558
HYOU1	0.9587
IARS2	0.9587
ICMT	0.5906
ID2	-0.7203
IDE	0.5163
IFRD2	0.7076
IGF2BP2	1.8058
IGF2R	0.6538
IGFBP3	-1.5648
IGHMBP2	0.5285
IKBKAP	0.6424
IL1B	-0.7474
IL4R	-0.5786
ILK	0.6962
INTS3	0.8186
IPO13	0.9245
ITGB1BP1	1.0828
ITGB5	0.8191
JMJD6	0.5579
JUN	-0.5249
KCTD5	0.6365
KDELR2	0.5187
KDM3A	0.6008
KDM5B	1.152
KEAP1	0.7171
KIAA0100	1.0011
KIAA0196	1.3118
KIAA0907	1.1611
KIF20A	3.038
KIF2C	2.9553
KLHL21	0.9283
LAGE3	1.3757
LAMA3	2.7221
LBR	0.8429
LGALS8	0.6272
LIG1	1.093
LIPA	0.5661
LPGAT1	0.9637
LRP10	0.9542
LRPAP1	0.5631
LRRC41	0.5147
LSM5	0.6644
LYN	0.5697
LYPLA1	0.7385
MAN2B1	0.7703
MAP2K5	0.7869
MAP3K4	0.5811
MAP4K4	0.9862
MAPK9	0.6943
MAPKAPK2	0.7989
MAPKAPK3	1.0009
MAPKAPK5	0.8109
MAST2	0.5235
MBNL2	-0.5292
MBOAT7	0.8153
MCM3	1.7035
MCOLN1	0.5412
ME2	0.7221
MELK	2.9903
MFSD10	1.1313
MICALL1	0.9776
MIF	0.9459
MLEC	1.2273
MNAT1	0.6973
MPZL1	1.2894
MRPL12	0.6924
MRPS16	0.7014
MSH6	0.8936
MSRA	-0.7559
MTA1	0.5019
MTFR1	0.9138
MVP	0.8978
MYBL2	3.2854
MYCBP	0.8269
NARFL	0.6045
NCAPD2	1.5511
NCK2	0.6778
NCOA3	0.7647
NENF	1.0532
NET1	0.6203
NFIL3	-0.6302
NFKB2	0.6539
NFKBIE	0.7376
NGRN	0.6219
NMT1	0.7556
NOL3	0.8423
NOSIP	0.7118
NPC1	1.0048
NPEPL1	0.6722
NPRL2	0.6318
NR1H2	0.659
NR2F6	0.8245
NRAS	1.0048
NSDHL	0.5695
NT5DC2	1.3543
NUCB2	0.8195
NUDCD3	0.886
NUP133	1.0603
NUP85	0.8685
NUP93	0.9402
NUSAP1	2.4703
NVL	1.1361
OXA1L	0.5525
P4HA2	1.7325
PAFAH1B3	1.7649
PAICS	0.5445
PAK1	1.0106
PAK4	0.8773
PARP1	0.9597
PARP2	0.8732
PCK2	-0.6105
PCNA	1.3185
PDGFA	1.5585
PDS5A	0.611
PHGDH	-0.907
PHKB	0.5767
PHKG2	0.5002
PIH1D1	0.7415
PIK3C2B	1.1233
PIK3R3	0.7331
PIN1	0.6947
PIP4K2B	0.9528
PLCB3	0.9701
PLEKHJ1	0.7086
PLK1	2.5789
PLOD3	1.5027
PLP2	1.6793
PLS1	0.6685
PNKP	0.7174
POLB	0.6457
POLG2	1.1735
POLR1C	0.6681
POLR2I	0.5385
POLR2K	1.2566
POP4	0.7907
PPARG	0.9135
PPIC	0.8212
PPOX	1.3336
PPP2R3C	0.5839
PPP2R5A	1.098
PRAF2	0.8603
PRKCD	0.863
PROS1	-0.5455
PRPF4	0.6121
PRUNE	1.3626
PSIP1	0.664
PSMD10	1.0498
PSMD2	1.0369
PSMD4	1.4899
PSMD9	0.6303
PSME1	0.5266
PSME2	0.5624
PSRC1	1.7032
PTGS2	-1.1294
PTK2	1.2493
PTPN1	0.5123
PTPN12	0.6546
PTPRF	1.0743
PUF60	1.105
PWP1	0.6812
PXMP2	-0.6
PXN	0.6048
PYCR1	2.6146
RAB4A	0.8504
RAD51C	1.1388
RAD9A	0.8152
RAE1	0.7714
RAI14	0.8381
RALA	0.8825
RASA1	0.5492
RBM15B	0.9908
RBM34	1.0352
RELB	0.7917
RFC2	0.7638
RFC5	0.935
RFNG	0.6173
RFX5	1.4363
RHEB	0.8009
RHOA	0.7526
RNH1	0.5053
RNMT	0.7687
RNPS1	0.7598
RPA1	0.7156
RPA2	0.5602
RPA3	0.7948
RPIA	0.999
RPL39L	1.8511
RPN1	0.5591
RPP38	0.6961
RPS5	1.0535
RPS6	0.6063
RRP12	0.6858
RRP1B	0.7311
RRS1	1.3832
RSU1	0.7231
RTN2	1.4783
RUVBL1	1.2016
SCARB1	0.7153
SCCPDH	0.692
SCP2	-0.5424
SCYL3	0.5111
SERPINE1	-0.678
SFN	3.7326
SHC1	1.1768
SKIV2L	0.565
SKP1	0.6877
SLC11A2	0.7121
SLC1A4	1.0476
SLC25A14	0.8042
SLC35B1	0.7027
SLC5A6	0.9587
SMAD3	0.6264
SMARCA4	1.051
SMARCC1	0.9667
SMARCD2	0.7984
SMC1A	0.7547
SMC3	0.8783
SMC4	1.3819
SNX11	0.8125
SNX13	0.6056
SNX7	0.8877
SOCS2	-1.2036
SOX4	1.1746
SPP1	3.1074
SPR	0.5493
SPTAN1	0.8421
SQSTM1	1.3486
SRC	0.991
STAMBP	0.7805
STK25	0.8465
STMN1	2.0961
STUB1	0.5887
