Gene	log2FC
SFN	3.739334244
TOP2A	3.464971772
MYBL2	3.445683126
CDC20	3.435275368
UBE2C	3.317019934
KIF20A	3.224210264
MELK	3.182378373
SPP1	3.124145515
BIRC5	3.063611919
CCNB2	3.047519992
CDK1	2.898210837
CCNB1	2.860919466
AURKB	2.776244863
AURKA	2.747361252
NUSAP1	2.287636426
BMP4	2.165191023
STMN1	1.90357276
TXNRD1	1.817624101
COL1A1	1.743016919
CCNA2	1.675763962
IGF2BP2	1.665445222
GMNN	1.625774144
PAFAH1B3	1.565161002
RPL39L	1.55822106
EZH2	1.526589603
HIST2H2BE	1.369971737
P4HA2	1.365505745
PDGFA	1.357988892
MCM3	1.357811261
PLP2	1.351138796
TARBP1	1.323546353
COL4A1	1.256652684
NCAPD2	1.251472567
PSMD4	1.171584149
PLOD3	1.169174089
RFX5	1.140489427
HIST1H2BK	1.124523721
NT5DC2	1.09936876
SUV39H1	1.083465172
LAGE3	1.066815458
VPS72	1.044543329
RRS1	1.0405469
HSPB1	1.03810913
PPOX	1.035530043
CHEK2	1.01529301
FAT1	1.012849047
SQSTM1	1.004655354
ANO10	1.00413262
NFIL3	-1.007196364
TLR4	-1.010831272
GADD45A	-1.0119057
AGL	-1.03553378
ID2	-1.096523567
MSRA	-1.152782898
ATF5	-1.182491774
DUSP6	-1.208658842
SERPINE1	-1.21038565
TRIB1	-1.220432426
CAT	-1.2261736
CCL2	-1.239434523
PHGDH	-1.335883675
ACAA1	-1.346671587
EGR1	-1.399584376
ZFP36	-1.498249935
GADD45B	-1.569273789
GSTZ1	-1.569296958
FOS	-1.628500887
IGFBP3	-1.936320158
CXCL2	-1.967108824
GHR	-2.041389809
